"GEO_ID","NAME","B27015_001E","B27015_001EA","B27015_001M","B27015_001MA","B27015_002E","B27015_002EA","B27015_002M","B27015_002MA","B27015_003E","B27015_003EA","B27015_003M","B27015_003MA","B27015_004E","B27015_004EA","B27015_004M","B27015_004MA","B27015_005E","B27015_005EA","B27015_005M","B27015_005MA","B27015_006E","B27015_006EA","B27015_006M","B27015_006MA","B27015_007E","B27015_007EA","B27015_007M","B27015_007MA","B27015_008E","B27015_008M","B27015_008MA","B27015_008EA","B27015_009E","B27015_009EA","B27015_009M","B27015_009MA","B27015_010E","B27015_010EA","B27015_010M","B27015_010MA","B27015_011E","B27015_011EA","B27015_011M","B27015_011MA","B27015_012E","B27015_012EA","B27015_012M","B27015_012MA","B27015_013E","B27015_013EA","B27015_013M","B27015_013MA","B27015_014E","B27015_014EA","B27015_014M","B27015_014MA","B27015_015E","B27015_015EA","B27015_015M","B27015_015MA","B27015_016E","B27015_016EA","B27015_016M","B27015_016MA","B27015_017E","B27015_017EA","B27015_017M","B27015_017MA","B27015_018E","B27015_018EA","B27015_018M","B27015_018MA","B27015_019E","B27015_019EA","B27015_019M","B27015_019MA","B27015_020E","B27015_020EA","B27015_020M","B27015_020MA","B27015_021E","B27015_021EA","B27015_021M","B27015_021MA","B27015_022E","B27015_022EA","B27015_022M","B27015_022MA","B27015_023E","B27015_023EA","B27015_023M","B27015_023MA","B27015_024E","B27015_024EA","B27015_024M","B27015_024MA","B27015_025E","B27015_025EA","B27015_025M","B27015_025MA","B27015_026E","B27015_026EA","B27015_026M","B27015_026MA",
"0500000US47169","Trousdale County, Tennessee","9307","null","338","null","1201","null","348","null","981","null","320","null","376","null","191","null","797","null","267","null","220","null","135","null","1745","null","549","null","1199","349","null","null","706","null","246","null","637","null","233","null","546","null","327","null","2328","null","660","null","2102","null","592","null","1459","null","443","null","1114","null","381","null","226","null","167","null","1673","null","517","null","1572","null","504","null","1447","null","470","null","235","null","189","null","101","null","99","null","2360","null","644","null","2219","null","637","null","1830","null","556","null","750","null","325","null","141","null","119","null",
"0500000US47171","Unicoi County, Tennessee","17247","null","202","null","3717","null","517","null","3274","null","481","null","1279","null","249","null","2723","null","457","null","443","null","150","null","5147","null","701","null","4524","615","null","null","2773","null","447","null","2997","null","550","null","623","null","251","null","3112","null","647","null","2899","null","609","null","2003","null","435","null","1432","null","320","null","213","null","130","null","2443","null","550","null","2365","null","527","null","2103","null","500","null","525","null","224","null","78","null","76","null","2828","null","708","null","2518","null","639","null","2150","null","517","null","684","null","247","null","310","null","215","null",
"0500000US47173","Union County, Tennessee","19295","null","64","null","3832","null","558","null","2975","null","420","null","684","null","191","null","2646","null","395","null","857","null","304","null","4891","null","621","null","4384","559","null","null","2149","null","368","null","2985","null","421","null","507","null","147","null","5242","null","881","null","4822","null","841","null","3337","null","597","null","1946","null","564","null","420","null","201","null","2342","null","517","null","2278","null","504","null","1920","null","469","null","725","null","244","null","64","null","63","null","2988","null","669","null","2718","null","587","null","2338","null","516","null","633","null","238","null","270","null","179","null",
"0500000US47175","Van Buren County, Tennessee","5653","null","86","null","1275","null","306","null","1005","null","213","null","321","null","125","null","885","null","204","null","270","null","158","null","1476","null","296","null","1169","251","null","null","633","null","177","null","720","null","161","null","307","null","158","null","1347","null","308","null","1147","null","280","null","816","null","222","null","535","null","134","null","200","null","127","null","772","null","227","null","748","null","216","null","626","null","182","null","273","null","112","null","24","null","26","null","783","null","281","null","747","null","262","null","721","null","252","null","188","null","90","null","36","null","47","null",
"0500000US47177","Warren County, Tennessee","40006","null","202","null","8796","null","926","null","7426","null","827","null","1919","null","361","null","6652","null","748","null","1370","null","391","null","11245","null","1006","null","9489","899","null","null","5794","null","772","null","5687","null","779","null","1756","null","502","null","8531","null","974","null","7760","null","885","null","5266","null","610","null","3718","null","685","null","771","null","196","null","4545","null","709","null","4077","null","612","null","3539","null","577","null","976","null","250","null","468","null","207","null","6889","null","972","null","6176","null","893","null","5584","null","823","null","1486","null","328","null","713","null","299","null",
"0500000US47179","Washington County, Tennessee","122749","null","402","null","24009","null","1614","null","20366","null","1385","null","9180","null","884","null","14930","null","1300","null","3643","null","700","null","27716","null","2016","null","24000","1792","null","null","16298","null","1239","null","13288","null","1334","null","3716","null","732","null","24204","null","1691","null","22135","null","1556","null","18198","null","1447","null","7735","null","812","null","2069","null","528","null","14869","null","1609","null","14267","null","1548","null","12248","null","1333","null","4164","null","694","null","602","null","188","null","31951","null","1854","null","31106","null","1779","null","29274","null","1679","null","5250","null","716","null","845","null","345","null",
"0500000US47181","Wayne County, Tennessee","14592","null","250","null","3404","null","546","null","2935","null","460","null","901","null","242","null","2386","null","400","null","469","null","168","null","3624","null","586","null","3120","485","null","null","1643","null","356","null","2083","null","371","null","504","null","255","null","3263","null","638","null","2870","null","579","null","2312","null","540","null","1177","null","287","null","393","null","171","null","2143","null","519","null","1879","null","450","null","1533","null","384","null","558","null","200","null","264","null","129","null","2158","null","453","null","2041","null","438","null","1940","null","422","null","243","null","123","null","117","null","85","null",
"0500000US47183","Weakley County, Tennessee","30942","null","573","null","7562","null","708","null","6276","null","565","null","2785","null","378","null","4640","null","469","null","1286","null","384","null","8705","null","779","null","7554","751","null","null","4465","null","556","null","4697","null","568","null","1151","null","247","null","6234","null","792","null","5983","null","763","null","5182","null","692","null","2119","null","307","null","251","null","124","null","3826","null","557","null","3729","null","549","null","3303","null","525","null","969","null","250","null","97","null","67","null","4615","null","669","null","4337","null","576","null","3970","null","581","null","835","null","226","null","278","null","305","null",
"0500000US47185","White County, Tennessee","26385","null","164","null","4943","null","691","null","4242","null","571","null","1448","null","306","null","3500","null","499","null","701","null","235","null","8752","null","974","null","7312","936","null","null","4134","null","653","null","4412","null","682","null","1440","null","364","null","5386","null","770","null","5123","null","760","null","3999","null","612","null","2047","null","494","null","263","null","132","null","4100","null","784","null","3591","null","672","null","3216","null","657","null","657","null","175","null","509","null","485","null","3204","null","594","null","3118","null","583","null","2783","null","528","null","808","null","250","null","86","null","62","null",
"0500000US47187","Williamson County, Tennessee","224888","null","128","null","10818","null","1287","null","9170","null","1099","null","6269","null","897","null","4779","null","662","null","1648","null","447","null","19420","null","1803","null","17111","1570","null","null","11649","null","1424","null","8435","null","976","null","2309","null","628","null","25150","null","1815","null","23519","null","1775","null","19624","null","1563","null","7517","null","848","null","1631","null","508","null","26663","null","2233","null","24906","null","2059","null","22239","null","1994","null","6047","null","772","null","1757","null","505","null","142837","null","3146","null","139976","null","3082","null","134019","null","3009","null","14478","null","840","null","2861","null","612","null",
"0500000US47189","Wilson County, Tennessee","134851","null","384","null","10845","null","1068","null","9368","null","922","null","3931","null","657","null","7054","null","775","null","1477","null","440","null","20655","null","1799","null","18312","1661","null","null","11606","null","1165","null","10530","null","1132","null","2343","null","607","null","24555","null","2172","null","22729","null","1943","null","17184","null","1610","null","9272","null","1254","null","1826","null","484","null","22486","null","2057","null","21452","null","1980","null","19116","null","1833","null","4605","null","694","null","1034","null","328","null","56310","null","2189","null","54558","null","2136","null","50779","null","2096","null","8649","null","812","null","1752","null","503","null",
